"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
Prince Edward Island (51),"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2267.55,2319.76,2344.43,1728.79,1470.74
Prince Edward Island (51),"Total, all violations [0] ","Total, youth not charged (39,40)",415,448,270,216,158
Prince Edward Island (51),"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3779.26,4157.00,2604.92,2158.49,1613.73
Nova Scotia,"Total, all violations [0] ",Actual incidents,69357,67485,60490,58688,53193
Nova Scotia,"Total, all violations [0] ","Rate per 100,000 population",7343.49,7142.52,6414.70,6227.59,5640.82
Nova Scotia,"Total, all violations [0] ",Percentage change in rate (22),-6.29,-2.74,-10.19,-2.92,-9.42
Nova Scotia,"Total, all violations [0] ",Total cleared,32641,32082,28312,26721,24784
Nova Scotia,"Total, all violations [0] ",Cleared by charge,19390,18342,16558,16380,15049
Nova Scotia,"Total, all violations [0] ",Cleared otherwise,13251,13740,11754,10341,9735
Nova Scotia,"Total, all violations [0] ","Total, persons charged (23)",19410,18160,16312,15878,14468
Nova Scotia,"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2319.27,2165.52,1947.30,1895.94,1726.49
Nova Scotia,"Total, all violations [0] ","Total, adult charged",16715,15665,14429,14320,13199
Nova Scotia,"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2163.09,2019.18,1857.66,1840.13,1691.94
Nova Scotia,"Total, all violations [0] ","Total, youth charged (39,40)",2695,2495,1883,1558,1269
Nova Scotia,"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4200.17,3973.75,3089.77,2628.65,2192.05
Nova Scotia,"Total, all violations [0] ","Total, youth not charged (39,40)",3890,3921,2871,2360,2047
Nova Scotia,"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",6062.59,6244.92,4710.96,3981.78,3535.96
"Halifax, Nova Scotia","Total, all violations [0] ",Actual incidents,29375,26833,24237,24455,22374
"Halifax, Nova Scotia","Total, all violations [0] ","Rate per 100,000 population",7299.21,6596.86,5911.41,5913.18,5354.32
"Halifax, Nova Scotia","Total, all violations [0] ",Percentage change in rate (22),-10.36,-9.62,-10.39,0.03,-9.45
"Halifax, Nova Scotia","Total, all violations [0] ",Total cleared,11876,11858,10838,9725,9209
"Halifax, Nova Scotia","Total, all violations [0] ",Cleared by charge,8774,8261,7675,7369,7016
"Halifax, Nova Scotia","Total, all violations [0] ",Cleared otherwise,3102,3597,3163,2356,2193
"Halifax, Nova Scotia","Total, all violations [0] ","Total, persons charged (23)",8559,7995,7311,7109,6628
"Halifax, Nova Scotia","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2408.45,2221.85,2014.53,1941.12,1790.95
"Halifax, Nova Scotia","Total, all violations [0] ","Total, adult charged",7410,6874,6461,6429,6071
"Halifax, Nova Scotia","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2250.84,2057.87,1913.19,1882.17,1755.56
"Halifax, Nova Scotia","Total, all violations [0] ","Total, youth charged (39,40)",1149,1121,850,680,557
"Halifax, Nova Scotia","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4391.53,4344.79,3372.35,2757.73,2295.20
"Halifax, Nova Scotia","Total, all violations [0] ","Total, youth not charged (39,40)",1116,1105,979,606,568
"Halifax, Nova Scotia","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4265.40,4282.78,3884.15,2457.62,2340.53
New Brunswick,"Total, all violations [0] ",Actual incidents,45809,47498,41384,38280,41597
New Brunswick,"Total, all violations [0] ","Rate per 100,000 population",6063.16,6275.86,5476.12,5073.03,5517.79
New Brunswick,"Total, all violations [0] ",Percentage change in rate (22),-4.35,3.51,-12.74,-7.36,8.77
New Brunswick,"Total, all violations [0] ",Total cleared,20842,20535,17575,16455,15845
New Brunswick,"Total, all violations [0] ",Cleared by charge,13356,13302,12205,11422,11384
New Brunswick,"Total, all violations [0] ",Cleared otherwise,7486,7233,5370,5033,4461
New Brunswick,"Total, all violations [0] ","Total, persons charged (23)",13242,12858,11859,11127,11025
New Brunswick,"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1984.15,1921.59,1774.02,1666.19,1651.55
New Brunswick,"Total, all violations [0] ","Total, adult charged",11487,11412,10588,9993,9954
New Brunswick,"Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1865.20,1844.27,1709.11,1611.83,1604.72
New Brunswick,"Total, all violations [0] ","Total, youth charged (39,40)",1755,1446,1271,1134,1071
New Brunswick,"Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3405.85,2871.78,2595.04,2370.90,2266.14
New Brunswick,"Total, all violations [0] ","Total, youth not charged (39,40)",2216,2196,1511,1452,1198
New Brunswick,"Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4300.49,4361.30,3085.06,3035.75,2534.86
"Moncton, New Brunswick (8,58)","Total, all violations [0] ",Actual incidents,9475,10985,9521,9697,11465
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Rate per 100,000 population",6767.04,7741.91,6661.49,6269.92,7341.69
"Moncton, New Brunswick (8,58)","Total, all violations [0] ",Percentage change in rate (22),2.38,14.41,-13.96,-5.88,17.09
"Moncton, New Brunswick (8,58)","Total, all violations [0] ",Total cleared,4237,3733,3213,3431,3183
"Moncton, New Brunswick (8,58)","Total, all violations [0] ",Cleared by charge,2767,2629,2336,2483,2479
"Moncton, New Brunswick (8,58)","Total, all violations [0] ",Cleared otherwise,1470,1104,877,948,704
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Total, persons charged (23)",2747,2591,2257,2373,2426
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2239.62,2083.18,1801.61,1746.84,1768.02
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Total, adult charged",2397,2337,2046,2163,2160
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2108.68,2024.57,1757.01,1709.44,1689.61
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Total, youth charged (39,40)",350,254,211,210,266
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3896.68,2839.58,2389.85,2255.15,2837.03
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Total, youth not charged (39,40)",429,431,283,315,228
"Moncton, New Brunswick (8,58)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4776.22,4818.33,3205.35,3382.73,2431.74
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ",Actual incidents,9193,9118,8212,6665,6578
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Rate per 100,000 population",6250.72,6209.73,5616.92,5210.82,5169.39
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ",Percentage change in rate (22),-10.89,-0.66,-9.55,-7.23,-0.79
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ",Total cleared,4591,4772,4229,3733,3574
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ",Cleared by charge,2636,2895,2733,2255,2139
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ",Cleared otherwise,1955,1877,1496,1478,1435
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Total, persons charged (23)",2524,2689,2610,2190,2059
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1964.43,2093.98,2040.66,1958.66,1851.32
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Total, adult charged",2092,2251,2219,1895,1811
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1782.78,1912.34,1888.51,1838.88,1764.30
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Total, youth charged (39,40)",432,438,391,295,248
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3877.92,4090.78,3759.62,3367.96,2893.48
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Total, youth not charged (39,40)",583,507,400,357,308
"Saint John, New Brunswick (4,47,58)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",5233.39,4735.22,3846.15,4075.81,3593.51
"Quebec (50,62)","Total, all violations [0] ",Actual incidents,424040,420295,383203,354417,345122
"Quebec (50,62)","Total, all violations [0] ","Rate per 100,000 population",5295.43,5198.60,4699.13,4314.33,4176.41
"Quebec (50,62)","Total, all violations [0] ",Percentage change in rate (22),-4.64,-1.83,-9.61,-8.19,-3.20
"Quebec (50,62)","Total, all violations [0] ",Total cleared,194729,198174,186080,175551,171456
"Quebec (50,62)","Total, all violations [0] ",Cleared by charge,132684,139341,130399,121412,120438
"Quebec (50,62)","Total, all violations [0] ",Cleared otherwise,62045,58833,55681,54139,51018
"Quebec (50,62)","Total, all violations [0] ","Total, persons charged (23)",113723,119209,111548,107314,109360
"Quebec (50,62)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1618.97,1682.33,1562.55,1493.79,1514.80
"Quebec (50,62)","Total, all violations [0] ","Total, adult charged",103917,108677,102128,99367,101462
"Quebec (50,62)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1601.81,1655.28,1539.40,1484.58,1505.79
"Quebec (50,62)","Total, all violations [0] ","Total, youth charged (39,40)",9806,10532,9420,7947,7898
"Quebec (50,62)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1826.31,2023.54,1866.78,1619.46,1640.97
"Quebec (50,62)","Total, all violations [0] ","Total, youth not charged (39,40)",17480,14782,13237,12020,11337
"Quebec (50,62)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3255.55,2840.10,2623.20,2449.47,2355.49
"Saguenay, Quebec (5,55)","Total, all violations [0] ",Actual incidents,9230,9060,8278,7703,7517
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Rate per 100,000 population",5531.85,5411.48,4935.93,4590.78,4487.57
"Saguenay, Quebec (5,55)","Total, all violations [0] ",Percentage change in rate (22),-5.94,-2.18,-8.79,-6.99,-2.25
"Saguenay, Quebec (5,55)","Total, all violations [0] ",Total cleared,4022,4186,3886,3688,3448
"Saguenay, Quebec (5,55)","Total, all violations [0] ",Cleared by charge,2917,3113,2867,2644,2420
"Saguenay, Quebec (5,55)","Total, all violations [0] ",Cleared otherwise,1105,1073,1019,1044,1028
"Saguenay, Quebec (5,55)","Total, all violations [0] ","Total, persons charged (23)",2244,2338,2169,2121,2132
