"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
"Ontario (7,67)","Total, all violations [0] ",Total cleared,300694,294725,275834,264292,264707
"Ontario (7,67)","Total, all violations [0] ",Cleared by charge,213152,208916,195657,189283,189947
"Ontario (7,67)","Total, all violations [0] ",Cleared otherwise,87542,85809,80177,75009,74760
"Ontario (7,67)","Total, all violations [0] ","Total, persons charged (23)",209852,205225,193206,185272,185175
"Ontario (7,67)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1820.06,1757.53,1635.44,1552.31,1537.73
"Ontario (7,67)","Total, all violations [0] ","Total, adult charged",184060,182609,174943,169045,169732
"Ontario (7,67)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1747.99,1707.56,1611.67,1537.12,1526.68
"Ontario (7,67)","Total, all violations [0] ","Total, youth charged (39,40)",25792,22616,18263,16227,15443
"Ontario (7,67)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2578.76,2301.41,1904.53,1730.46,1670.58
"Ontario (7,67)","Total, all violations [0] ","Total, youth not charged (39,40)",29736,27571,22184,20596,19863
"Ontario (7,67)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2973.09,2805.63,2313.43,2196.37,2148.72
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ",Actual incidents,60616,61148,54320,52608,52375
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Rate per 100,000 population",4782.18,4763.33,4183.47,4010.01,3953.66
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ",Percentage change in rate (22),-4.44,-0.39,-12.17,-4.15,-1.41
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ",Total cleared,28291,28402,25650,24572,24305
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ",Cleared by charge,17758,18557,16908,16997,16809
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ",Cleared otherwise,10533,9845,8742,7575,7496
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Total, persons charged (23)",17359,17936,16511,16578,16305
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1578.25,1608.96,1464.04,1454.67,1417.33
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Total, adult charged",15760,16372,15285,15488,15208
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1564.33,1598.65,1470.86,1471.34,1429.08
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Total, youth charged (39,40)",1599,1564,1226,1090,1097
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1729.94,1725.43,1384.04,1252.97,1272.31
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Total, youth not charged (39,40)",3606,3214,2525,2322,2110
"Ottawa-Gatineau, Ontario/Quebec (6,52,61,68)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3901.29,3545.74,2850.50,2669.18,2447.20
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ",Actual incidents,43987,44255,39257,36412,36049
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Rate per 100,000 population",4621.50,4590.90,4023.85,3692.22,3617.12
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ",Percentage change in rate (22),-3.49,-0.66,-12.35,-8.24,-2.03
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ",Total cleared,18782,18476,16644,15292,15094
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ",Cleared by charge,11421,11838,10864,10466,10581
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ",Cleared otherwise,7361,6638,5780,4826,4513
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Total, persons charged (23)",11162,11412,10590,10003,10034
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1348.95,1360.30,1246.51,1164.17,1154.90
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Total, adult charged",10180,10402,9777,9354,9417
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1342.96,1349.86,1249.19,1178.95,1172.06
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Total, youth charged (39,40)",982,1010,813,649,617
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1414.27,1478.03,1215.17,986.02,943.93
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Total, youth not charged (39,40)",2633,2392,1818,1588,1389
"Ottawa-Gatineau, Ontario part (6,52,68)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3792.04,3500.45,2717.33,2412.64,2124.99
"Kingston, Ontario (8)","Total, all violations [0] ",Actual incidents,8651,8964,8431,8628,8309
"Kingston, Ontario (8)","Total, all violations [0] ","Rate per 100,000 population",5322.15,5486.56,5129.87,5218.72,4994.95
"Kingston, Ontario (8)","Total, all violations [0] ",Percentage change in rate (22),-1.28,3.09,-6.50,1.73,-4.29
"Kingston, Ontario (8)","Total, all violations [0] ",Total cleared,3911,4081,4119,3519,3285
"Kingston, Ontario (8)","Total, all violations [0] ",Cleared by charge,2637,2922,2727,2530,2476
"Kingston, Ontario (8)","Total, all violations [0] ",Cleared otherwise,1274,1159,1392,989,809
"Kingston, Ontario (8)","Total, all violations [0] ","Total, persons charged (23)",2560,2828,2685,2464,2383
"Kingston, Ontario (8)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1780.18,1953.74,1842.93,1680.10,1615.01
"Kingston, Ontario (8)","Total, all violations [0] ","Total, adult charged",2300,2554,2478,2293,2214
"Kingston, Ontario (8)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1732.10,1904.39,1828.81,1676.77,1606.21
"Kingston, Ontario (8)","Total, all violations [0] ","Total, youth charged (39,40)",260,274,207,171,169
"Kingston, Ontario (8)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2359.56,2575.91,2030.61,1726.05,1739.94
"Kingston, Ontario (8)","Total, all violations [0] ","Total, youth not charged (39,40)",362,302,294,206,176
"Kingston, Ontario (8)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3285.23,2839.15,2884.05,2079.34,1812.00
"Peterborough, Ontario (8)","Total, all violations [0] ",Actual incidents,6280,6350,6028,5982,5727
"Peterborough, Ontario (8)","Total, all violations [0] ","Rate per 100,000 population",5181.99,5227.97,4945.60,4898.70,4682.59
"Peterborough, Ontario (8)","Total, all violations [0] ",Percentage change in rate (22),-4.66,0.89,-5.40,-0.95,-4.41
"Peterborough, Ontario (8)","Total, all violations [0] ",Total cleared,3584,3458,3414,3271,3302
"Peterborough, Ontario (8)","Total, all violations [0] ",Cleared by charge,2628,2604,2464,2480,2573
"Peterborough, Ontario (8)","Total, all violations [0] ",Cleared otherwise,956,854,950,791,729
"Peterborough, Ontario (8)","Total, all violations [0] ","Total, persons charged (23)",2646,2649,2422,2394,2524
"Peterborough, Ontario (8)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2454.70,2449.17,2230.49,2202.55,2320.17
"Peterborough, Ontario (8)","Total, all violations [0] ","Total, adult charged",2390,2406,2156,2144,2312
"Peterborough, Ontario (8)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2404.86,2402.78,2136.60,2114.98,2273.00
"Peterborough, Ontario (8)","Total, all violations [0] ","Total, youth charged (39,40)",256,243,266,250,212
"Peterborough, Ontario (8)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3043.63,3028.04,3464.44,3415.30,2999.01
"Peterborough, Ontario (8)","Total, all violations [0] ","Total, youth not charged (39,40)",286,292,232,179,183
"Peterborough, Ontario (8)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3400.31,3638.63,3021.62,2445.36,2588.77
"Toronto, Ontario (33)","Total, all violations [0] ",Actual incidents,223251,211185,198029,194698,199345
"Toronto, Ontario (33)","Total, all violations [0] ","Rate per 100,000 population",3888.83,3624.22,3348.98,3247.85,3290.00
"Toronto, Ontario (33)","Total, all violations [0] ",Percentage change in rate (22),-4.23,-6.80,-7.59,-3.02,1.30
"Toronto, Ontario (33)","Total, all violations [0] ",Total cleared,97271,95258,91374,90162,92384
"Toronto, Ontario (33)","Total, all violations [0] ",Cleared by charge,76650,74776,70887,67671,67722
"Toronto, Ontario (33)","Total, all violations [0] ",Cleared otherwise,20621,20482,20487,22491,24662
"Toronto, Ontario (33)","Total, all violations [0] ","Total, persons charged (23)",73432,71490,68673,65442,65566
"Toronto, Ontario (33)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1477.18,1413.84,1336.25,1254.47,1242.30
"Toronto, Ontario (33)","Total, all violations [0] ","Total, adult charged",64853,63960,62478,59765,60166
"Toronto, Ontario (33)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1428.36,1381.18,1323.19,1243.30,1234.72
"Toronto, Ontario (33)","Total, all violations [0] ","Total, youth charged (39,40)",8579,7530,6195,5677,5400
"Toronto, Ontario (33)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1991.81,1769.29,1483.99,1385.55,1333.58
"Toronto, Ontario (33)","Total, all violations [0] ","Total, youth not charged (39,40)",7406,6264,5390,6340,6593
"Toronto, Ontario (33)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",1719.47,1471.82,1291.15,1547.36,1628.21
"Hamilton, Ontario (33)","Total, all violations [0] ",Actual incidents,37361,35310,31815,30414,29935
"Hamilton, Ontario (33)","Total, all violations [0] ","Rate per 100,000 population",5213.62,4864.33,4325.07,4087.43,3980.25
"Hamilton, Ontario (33)","Total, all violations [0] ",Percentage change in rate (22),-6.55,-6.70,-11.09,-5.49,-2.62
"Hamilton, Ontario (33)","Total, all violations [0] ",Total cleared,14642,13972,12895,13165,12792
"Hamilton, Ontario (33)","Total, all violations [0] ",Cleared by charge,9306,9205,8665,8907,8846
"Hamilton, Ontario (33)","Total, all violations [0] ",Cleared otherwise,5336,4767,4230,4258,3946
"Hamilton, Ontario (33)","Total, all violations [0] ","Total, persons charged (23)",9012,9076,8559,8636,8364
"Hamilton, Ontario (33)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1450.71,1440.77,1340.00,1335.16,1278.32
"Hamilton, Ontario (33)","Total, all violations [0] ","Total, adult charged",8155,8281,7972,7892,7618
"Hamilton, Ontario (33)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1440.10,1437.78,1360.79,1327.44,1264.79
"Hamilton, Ontario (33)","Total, all violations [0] ","Total, youth charged (39,40)",857,795,587,744,746
"Hamilton, Ontario (33)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1560.08,1472.69,1109.75,1422.86,1435.08
"Hamilton, Ontario (33)","Total, all violations [0] ","Total, youth not charged (39,40)",2016,1756,1563,1321,1160
"Hamilton, Ontario (33)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3669.93,3252.88,2954.91,2526.34,2231.50
"St.Catharines-Niagara, Ontario","Total, all violations [0] ",Actual incidents,22005,22631,20270,17951,17803
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Rate per 100,000 population",4969.48,5093.03,4549.99,4012.47,3964.17
"St.Catharines-Niagara, Ontario","Total, all violations [0] ",Percentage change in rate (22),-11.65,2.49,-10.66,-11.81,-1.20
"St.Catharines-Niagara, Ontario","Total, all violations [0] ",Total cleared,9324,9431,8524,7625,7213
"St.Catharines-Niagara, Ontario","Total, all violations [0] ",Cleared by charge,6263,6419,6017,5508,5271
"St.Catharines-Niagara, Ontario","Total, all violations [0] ",Cleared otherwise,3061,3012,2507,2117,1942
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Total, persons charged (23)",6069,6294,5948,5398,5122
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1553.56,1602.99,1509.07,1362.79,1287.62
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Total, adult charged",5403,5733,5591,5103,4845
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1508.00,1587.05,1537.15,1391.77,1313.40
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Total, youth charged (39,40)",666,561,357,295,277
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2057.84,1786.34,1173.42,1001.94,958.54
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Total, youth not charged (39,40)",955,1102,815,693,594
"St.Catharines-Niagara, Ontario","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2950.81,3509.00,2678.81,2353.70,2055.51
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ",Actual incidents,27836,27228,26202,25836,27294
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Rate per 100,000 population",5314.72,5142.08,4905.53,4798.01,5031.05
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ",Percentage change in rate (22),-5.25,-3.25,-4.60,-2.19,4.86
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ",Total cleared,13111,12573,11884,11991,12335
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ",Cleared by charge,9822,9387,9100,9364,9989
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ",Cleared otherwise,3289,3186,2784,2627,2346
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Total, persons charged (23)",9114,8777,8439,8802,9060
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2028.99,1929.87,1837.68,1898.96,1938.98
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Total, adult charged",7814,7664,7540,7933,8314
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1911.27,1847.40,1794.40,1865.83,1936.55
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Total, youth charged (39,40)",1300,1113,899,869,746
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3221.73,2786.40,2303.77,2266.38,1966.52
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Total, youth not charged (39,40)",1743,1489,1120,1117,1032
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4319.60,3727.72,2870.10,2913.18,2720.44
"Brantford, Ontario (8)","Total, all violations [0] ",Actual incidents,10520,10663,9738,8857,9023
"Brantford, Ontario (8)","Total, all violations [0] ","Rate per 100,000 population",7494.91,7546.09,6826.50,6165.17,6238.25
"Brantford, Ontario (8)","Total, all violations [0] ",Percentage change in rate (22),-5.93,0.68,-9.54,-9.69,1.19
"Brantford, Ontario (8)","Total, all violations [0] ",Total cleared,4771,4544,4278,4100,3970
"Brantford, Ontario (8)","Total, all violations [0] ",Cleared by charge,3364,3169,2987,2944,2840
"Brantford, Ontario (8)","Total, all violations [0] ",Cleared otherwise,1407,1375,1291,1156,1130
"Brantford, Ontario (8)","Total, all violations [0] ","Total, persons charged (23)",3083,2954,2750,2719,2597
"Brantford, Ontario (8)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2554.92,2425.88,2235.90,2193.50,2080.06
"Brantford, Ontario (8)","Total, all violations [0] ","Total, adult charged",2535,2445,2367,2416,2319
"Brantford, Ontario (8)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2314.48,2206.66,2108.76,2130.92,2027.47
"Brantford, Ontario (8)","Total, all violations [0] ","Total, youth charged (39,40)",548,509,383,303,278
"Brantford, Ontario (8)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",4918.77,4640.35,3563.79,2864.16,2654.44
"Brantford, Ontario (8)","Total, all violations [0] ","Total, youth not charged (39,40)",478,508,369,266,293
"Brantford, Ontario (8)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4290.46,4631.23,3433.52,2514.42,2797.67
"Guelph, Ontario (8)","Total, all violations [0] ",Actual incidents,5551,5829,5140,5409,5469
"Guelph, Ontario (8)","Total, all violations [0] ","Rate per 100,000 population",4416.70,4583.41,4010.64,4182.26,4192.73
"Guelph, Ontario (8)","Total, all violations [0] ",Percentage change in rate (22),-6.69,3.77,-12.50,4.28,0.25
"Guelph, Ontario (8)","Total, all violations [0] ",Total cleared,2580,2903,2829,2758,2825
"Guelph, Ontario (8)","Total, all violations [0] ",Cleared by charge,1897,1913,1826,2011,2242
"Guelph, Ontario (8)","Total, all violations [0] ",Cleared otherwise,683,990,1003,747,583
"Guelph, Ontario (8)","Total, all violations [0] ","Total, persons charged (23)",1896,1834,1725,1843,2049
"Guelph, Ontario (8)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1750.24,1669.66,1555.96,1646.11,1813.84
"Guelph, Ontario (8)","Total, all violations [0] ","Total, adult charged",1607,1567,1497,1658,1926
"Guelph, Ontario (8)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1619.50,1553.95,1467.23,1605.17,1844.65
"Guelph, Ontario (8)","Total, all violations [0] ","Total, youth charged (39,40)",289,267,228,185,123
"Guelph, Ontario (8)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3175.82,2965.68,2580.65,2133.79,1437.76
"Guelph, Ontario (8)","Total, all violations [0] ","Total, youth not charged (39,40)",343,411,336,263,224
"Guelph, Ontario (8)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3769.23,4565.14,3803.06,3033.45,2618.35
"London, Ontario","Total, all violations [0] ",Actual incidents,31715,31294,29121,30362,29684
"London, Ontario","Total, all violations [0] ","Rate per 100,000 population",6448.55,6299.53,5812.66,6013.00,5835.97
"London, Ontario","Total, all violations [0] ",Percentage change in rate (22),-5.96,-2.31,-7.73,3.45,-2.94
"London, Ontario","Total, all violations [0] ",Total cleared,14977,15010,13958,13894,13385
"London, Ontario","Total, all violations [0] ",Cleared by charge,10777,10815,10059,10311,10519
"London, Ontario","Total, all violations [0] ",Cleared otherwise,4200,4195,3899,3583,2866
"London, Ontario","Total, all violations [0] ","Total, persons charged (23)",10799,10953,10175,10290,10339
"London, Ontario","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2519.97,2527.23,2327.83,2334.91,2329.46
"London, Ontario","Total, all violations [0] ","Total, adult charged",9697,9967,9385,9566,9531
"London, Ontario","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2474.29,2505.96,2331.04,2350.82,2320.66
"London, Ontario","Total, all violations [0] ","Total, youth charged (39,40)",1102,986,790,724,808
"London, Ontario","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3008.79,2764.38,2290.32,2143.22,2438.58
"London, Ontario","Total, all violations [0] ","Total, youth not charged (39,40)",1076,1136,805,777,723
"London, Ontario","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2937.80,3184.93,2333.81,2300.11,2182.05
"Windsor, Ontario","Total, all violations [0] ",Actual incidents,16793,17182,16088,15162,15872
"Windsor, Ontario","Total, all violations [0] ","Rate per 100,000 population",5116.56,5216.34,4877.47,4585.06,4790.56
"Windsor, Ontario","Total, all violations [0] ",Percentage change in rate (22),-7.27,1.95,-6.50,-6.00,4.48
"Windsor, Ontario","Total, all violations [0] ",Total cleared,7546,7408,6946,6587,7015
"Windsor, Ontario","Total, all violations [0] ",Cleared by charge,5270,4977,4638,4611,4746
"Windsor, Ontario","Total, all violations [0] ",Cleared otherwise,2276,2431,2308,1976,2269
"Windsor, Ontario","Total, all violations [0] ","Total, persons charged (23)",5275,4899,4629,4478,4609
"Windsor, Ontario","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1858.76,1715.34,1615.13,1555.81,1595.92
"Windsor, Ontario","Total, all violations [0] ","Total, adult charged",4803,4523,4327,4266,4379
"Windsor, Ontario","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1862.80,1740.11,1653.96,1619.63,1654.76
"Windsor, Ontario","Total, all violations [0] ","Total, youth charged (39,40)",472,376,302,212,230
"Windsor, Ontario","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1818.60,1464.57,1208.53,867.75,951.67
"Windsor, Ontario","Total, all violations [0] ","Total, youth not charged (39,40)",735,646,543,424,445
"Windsor, Ontario","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2831.93,2516.26,2172.96,1735.50,1841.28
"Barrie, Ontario (8)","Total, all violations [0] ",Actual incidents,10554,10119,8819,8885,8427
"Barrie, Ontario (8)","Total, all violations [0] ","Rate per 100,000 population",5198.27,4921.00,4236.69,4216.46,3950.35
"Barrie, Ontario (8)","Total, all violations [0] ",Percentage change in rate (22),-9.91,-5.33,-13.91,-0.48,-6.31
"Barrie, Ontario (8)","Total, all violations [0] ",Total cleared,4807,4872,4421,4352,4183
"Barrie, Ontario (8)","Total, all violations [0] ",Cleared by charge,3253,3472,3217,3303,3354
"Barrie, Ontario (8)","Total, all violations [0] ",Cleared otherwise,1554,1400,1204,1049,829
"Barrie, Ontario (8)","Total, all violations [0] ","Total, persons charged (23)",3335,3521,3244,3351,3397
"Barrie, Ontario (8)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1920.43,1996.79,1814.34,1848.90,1849.30
"Barrie, Ontario (8)","Total, all violations [0] ","Total, adult charged",2841,3051,2918,3061,3063
"Barrie, Ontario (8)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1819.01,1916.02,1799.45,1854.99,1825.83
"Barrie, Ontario (8)","Total, all violations [0] ","Total, youth charged (39,40)",494,470,326,290,334
"Barrie, Ontario (8)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2826.90,2749.02,1959.49,1786.92,2096.41
"Barrie, Ontario (8)","Total, all violations [0] ","Total, youth not charged (39,40)",561,530,418,331,242
"Barrie, Ontario (8)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3210.30,3099.96,2512.47,2039.56,1518.96
"Sudbury, Ontario (60)","Total, all violations [0] ",Actual incidents,9703,9136,8598,8154,7734
"Sudbury, Ontario (60)","Total, all violations [0] ","Rate per 100,000 population",5889.60,5538.01,5206.81,4950.34,4708.22
"Sudbury, Ontario (60)","Total, all violations [0] ",Percentage change in rate (22),-5.89,-5.97,-5.98,-4.93,-4.89
"Sudbury, Ontario (60)","Total, all violations [0] ",Total cleared,4812,4742,4392,4030,4099
"Sudbury, Ontario (60)","Total, all violations [0] ",Cleared by charge,3900,3926,3730,3245,3344
"Sudbury, Ontario (60)","Total, all violations [0] ",Cleared otherwise,912,816,662,785,755
"Sudbury, Ontario (60)","Total, all violations [0] ","Total, persons charged (23)",4116,4039,3863,3353,3424
"Sudbury, Ontario (60)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2835.55,2773.91,2647.70,2301.48,2355.01
"Sudbury, Ontario (60)","Total, all violations [0] ","Total, adult charged",3417,3438,3327,2949,3055
"Sudbury, Ontario (60)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2563.99,2563.47,2468.12,2183.77,2261.47
"Sudbury, Ontario (60)","Total, all violations [0] ","Total, youth charged (39,40)",699,601,536,404,369
"Sudbury, Ontario (60)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",5879.88,5229.73,4828.39,3794.50,3581.48
"Sudbury, Ontario (60)","Total, all violations [0] ","Total, youth not charged (39,40)",415,413,369,297,371
"Sudbury, Ontario (60)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3490.92,3593.80,3324.02,2789.52,3600.89
"Thunder Bay, Ontario","Total, all violations [0] ",Actual incidents,10635,8998,8306,8262,7706
"Thunder Bay, Ontario","Total, all violations [0] ","Rate per 100,000 population",8859.40,7498.96,6816.86,6800.39,6362.44
"Thunder Bay, Ontario","Total, all violations [0] ",Percentage change in rate (22),-4.67,-15.36,-9.10,-0.24,-6.44
"Thunder Bay, Ontario","Total, all violations [0] ",Total cleared,5376,4786,4314,4462,4029
"Thunder Bay, Ontario","Total, all violations [0] ",Cleared by charge,4280,3755,3350,3193,2822
"Thunder Bay, Ontario","Total, all violations [0] ",Cleared otherwise,1096,1031,964,1269,1207
"Thunder Bay, Ontario","Total, all violations [0] ","Total, persons charged (23)",4387,3780,3283,3206,2859
"Thunder Bay, Ontario","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",4117.90,3546.93,3031.45,2968.11,2656.27
"Thunder Bay, Ontario","Total, all violations [0] ","Total, adult charged",3797,3339,2916,2901,2657
"Thunder Bay, Ontario","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",3866.76,3389.13,2903.02,2888.29,2648.95
"Thunder Bay, Ontario","Total, all violations [0] ","Total, youth charged (39,40)",590,441,367,305,202
"Thunder Bay, Ontario","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",7075.19,5478.26,4674.56,4026.40,2756.55
"Thunder Bay, Ontario","Total, all violations [0] ","Total, youth not charged (39,40)",353,302,265,314,276
"Thunder Bay, Ontario","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4233.12,3751.55,3375.37,4145.21,3766.38
Manitoba,"Total, all violations [0] ",Actual incidents,121719,121815,110361,107589,113643
Manitoba,"Total, all violations [0] ","Rate per 100,000 population",9865.95,9742.04,8721.83,8403.80,8786.53
Manitoba,"Total, all violations [0] ",Percentage change in rate (22),-7.36,-1.26,-10.47,-3.65,4.55
Manitoba,"Total, all violations [0] ",Total cleared,60557,61318,58454,56314,56670
Manitoba,"Total, all violations [0] ",Cleared by charge,33745,35603,33474,32040,32708
Manitoba,"Total, all violations [0] ",Cleared otherwise,26812,25715,24980,24274,23962
Manitoba,"Total, all violations [0] ","Total, persons charged (23)",33488,35324,32851,30798,31236
Manitoba,"Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",3192.22,3319.98,3049.60,2826.46,2839.24
